Code,FundClusterCode,FinancingSource,Authorization,FundCategory,FundSubCategory,Description,DepartmentName,AgencyName
03104344,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Fidelity Bond Fund,"Public Bonding Law - Sections 313-335 Chapter 15, Revised Administrative Code of 1917",Department of Finance (DOF),Bureau of the Treasury
03104345,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Insurance Commission Fund,25% share in premium tax collections of the BIR - P.D. 612 /R.A. 8424,Department of Finance (DOF),Insurance Commission
03104346,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Pre-Need Fund,"Retention and Utilization of Fees, Charges and Other Income from the Regulation of Pre-need Companies - R.A. 9829",Department of Finance (DOF),Insurance Commission
03104347,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Department of Health (OSEC),Shares from Franchise tax/VAT- R.A. Nos. 6631/6632/7953/8407,Department of Health (DOH),Office of the Secretary
03104348,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,DOH OSEC FDA-SAGF,"Income from fees fines, royalties and other charges authorized under R.A. 9502",Department of Health (DOH),Office of the Secretary
03104349,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,OSEC-BQIHS SAGF,50% of Income from Quarantine Services - R.A. 9271,Department of Health (DOH),Office of the Secretary
03104350,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Bureau of Fire Protection,Fees and Fines under the Fire Code of the Philippines - R.A. 9154,Department of the Interior and Local Government (DILG),Bureau of Fire Protection
03104351,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Department of Justice (OSEC),Legal Fees - R.A. 9279,Department of Justice (DOJ),Office of the Secretary
03104352,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Land Registration Authority,20% of Land Registration Fees of the Register of Deeds of LGUs and LRA - P.D. 1529,Department of Justice (DOJ),Land Registration Authority
03104353,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Office of the Solicitor General,50% of fees and charges on naturalized aliens under the old Naturalization Law - L.O.I. 278 /R.A. 9417,Department of Justice (DOJ),Office of the Solicitor General
03104354,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Verification Fee Fund,Verification Fees of Foreign Post - E.O. 1022,Department of Labor and Employment (DOLE),Office of the Secretary
03104355,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Voluntary Arbitration Fund,CBA Registration Fees - R.A. 6721,Department of Labor and Employment (DOLE),National Conciliation and Mediation Board
03104356,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Asia Pacific Disaster Response Fund,Tropical Storm Ketsana (Ondoy) Project,Department of National Defense (DND),Office of the Secretary - Proper
03104357,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,AFP Modernization Trust Fund,"Share from the proceeds of sale, lease or joint development, public-private partnership, sale of the products of Government Arsenal, disposal of repairable equipment, budgetary surplus, donations and interest income - R.A. 7227, R.A. 7898, R.A. 10349",Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUs)"
03104358,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Road Support Fund,80% of Motor Vehicle Users Charge Tax collections (MVUC) - R.A. 8794,Department of Public Works and Highways (DPWH),Office of the Secretary
03104359,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Local Road Fund,5% of Motor Vehicle Users Charge Tax collections (MVUC) - R.A. 8794,Department of Public Works and Highways (DPWH),Office of the Secretary
03104360,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Road Safety Fund,7. 5% of Motor Vehicle Users Charge Tax collections (MVUC) - R.A. 8794,Department of Public Works and Highways (DPWH),Office of the Secretary
03104361,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Tourism Development Fund,"Accreditation, training fees, miscellaneous income - R.A. 9593",Department of Tourism (DOT),Office of the Secretary
03104362,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,"Micro, Small and Medium Enterprise Development Council Fund",90% of the penalties collected by BSP from lending institutions for non-compliance with the provisions of the amended Magna Carta for SMEs - R.A. 9501,Department of Trade and Industry (DTI),Office of the Secretary
03104363,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Vehicle Pollution Control Fund,7.5% of Motor Vehicle Users Charge Tax collections (MVUC) - R.A. 8794,Department of Transportation (DOTr),Office of the Secretary
03104364,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Seat Belt Use Fund (LTO),Fines imposed on the implementation of Seat Belt Use - R.A. 8750,Department of Transportation (DOTr),Office of the Secretary
03104365,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,MARINA Tonnage Fees,Tonnage Fees - R.A. 9295,Department of Transportation (DOTr),Maritime Industry Authority (MARINA)
03104366,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,National Civil Aviation Security Committee (NCASC),Aviation security fees collected from passengers at the airports - E.O. Nos. 277/311,Department of Transportation (DOTr),Office for Transportation Security
03104367,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Interest Earnings of the Endowment Fund,Interest Income - E.O. 211,National Economic and Development Authority (NEDA),Philippine Statistical Research and Training Institute (formerly Statistical Research and Training Center)
03104368,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,CFO SAGF,"Donations from Overseas Filipinos, grants from multinational agencies, financial support from the CFOs corporate and government partners, and other income from projects and activities",Other Executive Offices (OEOs),Commission on Filipinos Overseas
03104369,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Higher Education Development Fund,"40% share from travel tax, 30% from registration fees of PRC and 1% of gross sales of lotto operations of PCSO - RA 7722",Other Executive Offices (OEOs),Commission on Higher Education
03104370,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,DDB SAGF,"25% of gross receipts from breakages of Phil. Racing Club, Inc. and Manila Jockey Club, Inc., 10% of unclaimed/forfeited sweepstakes/lotto prizes from PCSO and P5M per month from PAGCOR - R.A. Nos. 7953, 8407, 1965",Other Executive Offices (OEOs),Dangerous Drugs Board
03104371,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,FDCP SAGF,Registration fees/charges and amusement taxes - R.A. 9167,Other Executive Offices (OEOs),Film Development Council of the Philippines
03104372,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,GAB SAGF,"3% of the grass gate receipts from the conduct of professional basketball and other professional games and income from television, radio and motion picture rights - E.O. 120, P.D. 871",Other Executive Offices (OEOs),Games and Amusements Board
03104373,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,HLURB SAGF,"Service/Processing Fees, Fines, Penalties - E.O. Nos. 648/90",Other Executive Offices (OEOs),Housing and Land Use Regulatory Board
03104374,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Share on the annual revenue collection of MTRCB - Sec. 20 of P.D. 1986,,Other Executive Offices (OEOs),Movie and Television Review and Classification Board
03104375,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,National Endowment Fund for Culture and Arts,10% of PTA travel tax collections and Interest income - R.A. 7356; Contributions from PAGCOR - R.A. No. 7356 and R.A. No. 10066,Other Executive Offices (OEOs),National Commission for Culture and the Arts-Proper
03104376,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,The Asian Foundation,Donation,Other Executive Offices (OEOs),Office of the Presidential Adviser on the Peace Process
03104377,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,National Sports Development Fund,Share from taxes on horse races from Manila Jockey Club and PRC Inc. during special holidays - R.A. 6847; 3% share of all taxes collected on imported athletic equipment; Proceeds form the sale of stamps depicting sports events,Other Executive Offices (OEOs),Philippine Sports Commission
03104378,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,PCUP SAGF,Donations from Local Sources,Other Executive Offices (OEOs),Presidential Commission for the Urban Poor
03104379,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,CCP SAGF,50% tobacco inspection fee collections of BIR - P.D. 1158/R.A. 8424,Budgetary Support to Government Corporations (BSGC),Cultural Center of the Philippines
03104380,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Tobacco Fund,Proceeds of fifty per centrum of the tariff or taxes of imported leaf tobacco - R.A. 4155,Budgetary Support to Government Corporations (BSGC),National Tobacco Administration
03104381,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,PCA SAGF,"Fees from copra exporters, oil millers, desiccators and other end-users of coconut products - P.D. 1234/P.D. 1854",Budgetary Support to Government Corporations (BSGC),Philippine Coconut Authority
03104382,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Tourism Promotions Board Fund,"Proceeds from the investment earnings of the Tourism Promotions Trust, Dividend shares from PAGCOR, Duty Free Philippines Corporation and others - R.A. 9593",Budgetary Support to Government Corporations (BSGC),Tourism Promotions Board
03104384,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Remedies Fund,,Department of Agriculture (DA),Office of the Secretary
03104385,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,National Water Quality Management Fund,"Fines, awards, fees, donations, endowments and grants in the form of contribution - RA 9275",Department of Environment and Natural Resources (DENR),Environmental Management Bureau
03104386,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Area Water Quality Management Fund,"Fees collected under the waste water charge system, donations, endowments and grants - RA 9275",Department of Environment and Natural Resources (DENR),Environmental Management Bureau
03104387,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Seed Fund,"Proceeds of sales, fines and donations - R.A. 7308",Department of Agriculture (DA),Office of the Secretary
03104388,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Competitiveness Enhancement Measures Fund,"50% of revenues collected from fees, charges and safeguard duties (RA 8800)",Department of Agriculture (DA),Office of the Secretary
03104389,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,National Building Code Development Fund,National building permit collections and remittances pursuant to PD 1096,Department of Public Works and Highways (DPWH),Office of the Secretary
03104390,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Livestock Promotion Fund,"Sourced from the sale of agricultural propagation, breeding or meat purposes or the renting or loaning for breeding purposes, or the slaughter and sale in the form of meat of the animals",Department of Agriculture (DA),Office of the Secretary
03104391,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Fisheries Management Fund,"to be used for the conservation, protection and regulation of fishery and aquatic resources sourced from endowments, grants, donations, administrative fines and penalties imposed under Section 19 of R.A. No. 10654",Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources
03104392,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Free Public Internet Access Fund (FPIAF),Deposits made by the NTC out of the Spectrum Users Fee - R.A. 10929,Department of Information and Communications Technology (DICT),Office of the Secretary
03104393,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Rice Competitiveness Enhancement Fund (RCEF),"To be funded out of the General Fund annually appropriated in the GAA automatically credited to an SAGF - Sec. 13, R.A. 11203",Budgetary Support to Government Corporations (BSGC),Development Bank of the Philippines
03104394,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Special Road Fund,Motor Vehicle User's Charge (MVUC) Tax Collections - R.A. 11239,Department of Public Works and Highways (DPWH),Office of the Secretary
03104395,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Coconut Levy Fund,For transfer to the Coconut Farmers and Industry Fund - Sec. 8 of RA 11524,Department of Finance (DOF),Bureau of the Treasury
03104396,03,General Fund,Automatic Appropriations,Special Accounts in the General Fund,Bangko Sentral ng Pilipinas Equity Infusion,Increase in capitalization - RA Nos. 7653 and 11211,Budgetary Support to Government Corporations (BSGC),Bangko Sentral ng Pilipinas
04104152,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Asian Development Bank,,,
04104153,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Australia,,,
04104154,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Austria,,,
04104155,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Belgium,,,
04104156,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Canada,,,
04104157,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,China,,,
04104158,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Denmark,,,
04104159,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,European Commission,,,
04104160,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,France,,,
04104161,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Germany,,,
04104162,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Global Environment Facility,,,
04104163,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,International Bank for Reconstruction and Development (IBRD),,,
04104164,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,International Development Fund (IDF),,,
04104165,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,International Fund for Agricultural Development (IFAD),,,
04104166,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Italy,,,
04104167,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Japan,,,
04104168,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Korea,,,
04104169,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Millennium Challenge Corporation,,,
04104170,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Netherlands,,,
04104171,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,New Zealand,,,
04104172,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Norway,,,
04104173,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Saudi Arabia,,,
04104174,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Spain,,,
04104175,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Switzerland,,,
04104176,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,United Kingdom,,,
04104177,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,United States,,,
04104178,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,United Nations Development Fund for Women (UNIFEM),,,
04104179,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,United Nations Population Fund (UNFPA),,,
04104181,04,General Fund,Automatic Appropriations,Multilateral and Bilateral Loans/Grants,Climate Change Fund,,,
05206441,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Internally Generated Income,Tuition and matriculation fees/other receipts - R.A. 8292,State Universities and Colleges (SUCs),
05206442,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Securities and Exchange Commission Retained Income,"P100M from license fees from securities brokers/dealers, registration of corporations, Special Purpose Vehicle Act - R.A. Nos. 8799 and 9182",Department of Finance (DOF),Securities and Exchange Commission
05206443,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Hospital Retained Income applicable to all DOH - retained hospitals,"Hospital fees, medical/dental/laboratory fees, rent income from use of hospital equipment/facilities, proceeds from sale of hospital products, devices, donations and other income - DOH-DOF-DBM J.C. 2003-1",Department of Health (DOH),Office of the Secretary
05206444,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Intellectual Property Office Retained Income,"Registration fees, grants of patents, registration of trademarks, subscription fees and other income - R.A. 8043",Department of Trade and Industry (DTI),
05206445,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Overseas Workers Welfare Administration(OWWA) Fund,,Department of Labor and Employment (DOLE),Office of the Secretary
05206446,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Government Arsenal Retained Income,All income generated from hospital operations,Department of National Defense (DND),Government Arsenal
05206447,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Veterans Memorial Medical Center Retained Income,"Hospital fees, medical, dental and laboratory fees / Retained Income",Department of National Defense (DND),Veterans Memorial Medical Center
05206448,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,General Headquarters-Proper Retained Income,All income generated from hospital operations,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUs)"
05206449,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,AFP Medical Center Retained Income,"Hospital income, medical, dental and laboratory fees and all other income generated from hospital operations",Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUs)"
05206450,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,AFP-PA Retained Income,All income generated from hospital operations,Department of National Defense (DND),Philippine Army ( Land Forces )
05206451,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,AFP-Philippine Air Force Retained Income,All income generated from hospital operations,Department of National Defense (DND),Philippine Air Force ( Air Forces )
05206452,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,AFP-PN Retained Income,All income generated from hospital operations,Department of National Defense (DND),Philippine Navy ( Naval Forces )
05206453,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,National Sports Development Fund,5% share of the gross income of the PAGCOR and 30% share on charity fund of proceeds of six (6) sweepstakes or lottery draws per annum - R.A. 6847,Other Executive Offices (OEOs),Philippine Sports Commission
05206454,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Judicial Development Fund,"Legal fees, court fees, other income - P.D. 1949",The Judiciary (JUD),Supreme Court of the Philippines and the Lower Courts
05206455,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,"Judicial Training Center, Philippine Judiciary Academy and Mandatory Continuing Legal Education",Seminar fees and other services income,The Judiciary (JUD),Supreme Court of the Philippines and the Lower Courts
05206456,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Special Allowance for the Judiciary,"Legal fees, new fees - R.A. 9227",The Judiciary (JUD),Supreme Court of the Philippines and the Lower Courts
05206457,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,Protected Area Retention Income Account (PA RIA),Retention by the Protected Area Management Board (PAMB) 75% of the Income from operations accruing to the Integrated Protected Areas Fund (IPAF) - RA No. 10629,,
05206458,05,Off - Budgetary Funds,Retained Income/Funds,Retained Income/Funds,National Museum Income Fund,All income from all sources of museum operations nationwide and overseas - RA 11333,Department of Education (DepEd),National Museum of the Philippines
06207501,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Agricultural Training Institute Revolving Fund,"Charges from dormitory operations, printing, publication, rental facilities, other business and grants/donations",Department of Agriculture (DA),Office of the Secretary
06207502,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Bureau of Animal Industry Revolving Fund,"Proceeds from sale of animals, meat and other animal byproducts R.A. 7308",Department of Agriculture (DA),Office of the Secretary
06207503,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Bureau of Animal Industry Revolving Fund-GAA General Provisions,Dormitory operations,Department of Agriculture (DA),Office of the Secretary
06207504,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Plant Quarantine Revolving Fund,Permit/inspection fees and charges on the importation and export of plants for improvement and strengthening of plant quarantine services P.D. 1433,Department of Agriculture (DA),Office of the Secretary
06207505,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Seed Industry Fund,"Fees and charges from clearance certification fees, inspection fees, miscellaneous income for the promotion and development of the seed industry R.A. 9168",Department of Agriculture (DA),Office of the Secretary
06207506,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Plant Variety Protection Fund,Collection of fees for plant variety protection - R.A. 9168,Department of Agriculture (DA),Office of the Secretary
06207507,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Bureau of Soils and Water Management Revolving Fund,Rentals from use of buildings/facilities and board and lodging for maintenance of buildings,Department of Agriculture (DA),Office of the Secretary
06207508,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Fertilizer and Pesticide Authority Fund,Rentals for use of Training Centers/Rooms,Department of Agriculture (DA),Fertilizer and Pesticide Authority
06207509,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Philippine Carabao Center Revolving Fund,"Sale of carabao's meat, milk and other key carabao products and byproducts, and other miscellaneous receipts R.A.7307",Department of Agriculture (DA),Philippine Carabao Center
06207510,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Philippine Center for Post Harvest Development and Mechanization Revolving Fund,Rental of Facilities R.A. 10156,Department of Agriculture (DA),Philippine Center for Post-Harvest Development and Mechanization
06207511,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Procurement Service Revolving Fund,Section 4 of E.O. 359 and Special Provision No. 1 of R.A. 7663,Department of Budget and Management (DBM),Government Procurement Policy Board-Technical Support Office
06207512,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,School Revolving Fund,"Income earned from manufacturing and production programs, including auxiliary services of national schools",Department of Education (DepEd),Office of the Secretary
06207513,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,RELC Revolving Fund,Registration Fees of Regional Education Learning Centers B.P. 6831,Department of Education (DepEd),Office of the Secretary
06207514,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Eco-Tech Center Revolving Fund,"Income from seminars, conferences",Department of Education (DepEd),Office of the Secretary
06207515,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Applied Nutrition Center Revolving Fund,"Income from Dormitory Operations, Miscellaneous Income",Department of Education (DepEd),Office of the Secretary
06207516,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Boracay National High School Hostel Revolving Fund,"Income from Dormitory Operations, Miscellaneous Income",Department of Education (DepEd),Office of the Secretary
06207517,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Baguio Teachers Camp Revolving Fund,"Lodging Fees, Rental of Facilities, Interest Income GAA",Department of Education (DepEd),Office of the Secretary
06207518,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Educators Academy of the Philippines Revolving Fund,"Registration Fees, Use of Buildings, Interest Income (F 161)",Department of Education (DepEd),Office of the Secretary
06207519,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Science Teaching Instrumentation Center Revolving Fund,Rental of Staff Houses,Department of Education (DepEd),Office of the Secretary
06207521,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Environmental Management Bureau Revolving Fund,Fines and penalties related to environmental compliance and other pollution violations P.D. Nos. 984/1226,Department of Environment and Natural Resources (DENR),Environmental Management Bureau
06207522,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Municipal Development Fund Revolving Fund,- P.D. 1914,Department of Finance (DOF),Office of the Secretary
06207523,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Local Loans Fund,- Policy Governing Board (PGB) Resolution,Department of Finance (DOF),Office of the Secretary
06207524,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Program Support Fund,- Policy Governing Board (PGB) Resolution,Department of Finance (DOF),Office of the Secretary
06207525,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Assessment Revolving Fund,"National government contribution of P50M, assessment fees and other income P.D. 1002",Department of Finance (DOF),Bureau of Local Government Finance
06207526,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Cooperative Development Loan Fund,- P.D. 175/R.A. 6939,Department of Finance (DOF),Cooperative Development Authority
06207527,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Cooperative Marketing Project Fund,- E.O. 113,Department of Finance (DOF),Cooperative Development Authority
06207528,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Cooperative Support Fund,- E.O. 116/R.A. 6939,Department of Finance (DOF),Cooperative Development Authority
06207529,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Cooperative Rehabilitation Development Fund,- E.O. 634/R.A. 6939,Department of Finance (DOF),Cooperative Development Authority
06207530,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Privatization and Management Office Revolving Fund,Income for conservation and disposition of transferred assets E.O. 323,Department of Finance (DOF),Privatization and Management Office
06207531,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Insurance Commission Revolving Fund,Security Fund for Life and Non-Life Accounts,Department of Finance (DOF),Insurance Commission
06207532,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Passport Revolving Fund,"Fees collected in excess of the regular fee for processing and issuance of passport requiring special consideration, waiver or issuance beyond regular office hours R.A. 8239",Department of Foreign Affairs (DFA),Office of the Secretary
06207533,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Drugs and Medicines Revolving Funds,Drugs and Medicines N.B.C. 321,Department of Health (DOH),Office of the Secretary
06207534,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,BuCor Revolving Fund,"Sale of agro-industry products, rental income and fines/penalties - R.A. 9206",Department of Justice (DOJ),Bureau of Corrections
06207535,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,TESDA Revolving Fund,All income derived from various training-cum production activities E.O. 939,Other Executive Offices (OEOs),Technical Education and Skills Development Authority
06207536,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Philippine Veterans Affairs Office-Proper Revolving Fund,"Entrance and parking fees, rental of stalls and guesthouse E.O. 159/197 and DOF-DBM J.C. 2-94; entrance fees and rentals for the use of military shrine installations and facilities, and board and lodging",Department of National Defense (DND),Philippine Veterans Affairs Office (PVAO) - Proper
06207537,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Department of Public Works and Highways-OSEC Revolving Fund,Toll Fees P.D. 1004,Department of Public Works and Highways (DPWH),Office of the Secretary
06207538,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Information and Communications Technology Office Revolving Fund,Seminar fees from trainees and other fees,Department of Science and Technology (DOST),Information and Communications Technology Office
06207539,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Self Employment Assistance Revolving and Settlement Fund,Income from loan repayments for micro-enterprise projects/loan R.A. 5416,Department of Social Welfare and Development (DSWD),Office of the Secretary
06207540,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Intramuros Administration Revolving Fund,"Rental of concessionaires, i.e., Casa Manila, Fort Santiago; fees from catering, shooting and reservations P.D. 1616",Department of Tourism (DOT),Intramuros Administration
06207541,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Public-Private Partnership Center of the Philippines Revolving Fund,Project Development Facility and Project Development and Monitoring Facility,National Economic and Development Authority (NEDA),Public-Private Partnership Center of the Philippines
06207542,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Printing Office Revolving Fund,"Sale of government accountable forms, non-accountable forms, official gazette and public documents, special jobs and information materials for production costs B.P. 40, N.B.C. 332, DOF Circular 5-80, COA Circular 80-140",Presidential Communications Operations Office (PCOO),National Printing Office
06207543,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Student Micro-Project Loan Fund,"Philippine-Australia Agritech Project and MOA between the CHED, Decs-EDPITAF and the Australian Agency for International Development (AusAID)",Other Executive Offices (OEOs),Commission on Higher Education
06207544,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,FDCP Revolving Fund,Film Fund,Other Executive Offices (OEOs),Film Development Council of the Philippines
06207545,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Commission for Culture and Arts Revolving Fund,"Proceeds from sale of books, magazines and cultural items R.A. 7356",Other Executive Offices (OEOs),National Commission for Culture and the Arts-Proper
06207546,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,National Historical Commission of the Philippines Revolving Fund,"Proceeds from sales of publications, park entrance fees and donations, rendering of technical services, conferences, workshops and similar income R.A. 10086",Other Executive Offices (OEOs),National Historical Commission of the Philippines
06207547,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Civil Service Commission Revolving Fund,"Fees from examinations, certifications, training courses, seminars and workshops Sections 62 and 63, Chapter 10, Title I (A), Book V of E.O. No. 292, s. 1987",Civil Service Commission (CSC),Civil Service Commission
